"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"1990/1991",1991,120,120,100,0,58.2494832888669,85.8229962062442,0,1853.36865240009,1523.5,1383.43932647054,1719.5,1482.5,1532,1482.5,77.4636251806424
"1991/1992",1992,120,120,100,0,56.7785013306036,78.2775009647909,0,2125.38956154967,1810.5,1676.2276400825,1994,1787,1811,1787,84.1203555454106
"1992/1993",1993,121,121,100,0,28.9118571727964,76.4106691105,0,2095.28850308415,1905,1765.2342928406,1971.5,1902.5,1641,1902.5,85.8925695418246
"1993/1994",1994,120,120,100,0,30.3810970501679,80.4896660056104,0,2100.49155767107,1876.5,1671.08770560155,1965.5,1839,1803,1838.5,83.8325530852865
"1994/1995",1995,120,120,100,29.221658456486,147.710208621854,68.7562942914058,64.9559583333333,1969.86239773802,1872,1819.29206478981,1854.5,1861,1390,1855.5,86.0010597966541
"1995/1996",1996,120,120,100,18.9133169129721,89.6276495719801,93.4941523816267,60.4535833333333,1537.07761166492,1156,1048.76485752355,1408.5,1110,1256,1108.5,67.0563649832884
"1996/1997",1997,121,121,100,25.2591133004926,109.491783160266,91.8627577930815,57.5785416666667,1723.48416121994,1446,1308.87880266226,1609.5,1395.5,1431,1395.5,72.9220037013022
"1997/1998",1998,120,120,100,25.1185057471264,116.718050119776,72.0077779594335,43.932875,2094.95665403939,1892,1780.03461901924,1936,1861.5,1593,1857,86.3512447617318
"1998/1999",1999,120,120,100,51.1152545155993,181.891861494635,80.2251730603259,97.0832083333333,2008.96669498839,1741,1565.04909555538,1867,1674,1687,1674,80.6746710276304
"1999/2000",2000,120,120,100,57.6927750410509,252.168256839078,73.6062889712182,99.009125,2216.05601383935,1901.5,1771.4919040542,2037.5,1876.5,1853,1873.5,88.3665115472468
"2000/2001",2001,121,121,100,43.3097044334975,183.275530086287,74.2138883744181,96.5486666666667,1993.85360417466,1733,1694.12952211845,1866.5,1746.5,1462,1746.5,84.7110165067768
"2001/2002",2002,120,120,100,41.7397865353038,196.413135976394,75.4065632828763,93.8100833333333,1951.4153791334,1678.5,1611.24375581726,1797,1682.5,1459,1680,82.8683254032146
"2002/2003",2003,120,120,100,42.9966666666667,207.413862971253,79.457588137152,95.534625,1813.79729997034,1559,1480.30027825392,1669,1563.5,1405,1560.5,80.3055909966006
"2003/2004",2004,120,120,100,48.5707060755337,201.710931408469,73.7800641557081,97.502125,2011.69869442377,1764,1608.48318073753,1894.5,1723.5,1643,1720.5,84.0297332445371
"2004/2005",2005,121,121,100,47.2106732348112,201.559952749896,81.6971640127993,102.131791666667,1995.51581447235,1610.5,1466.90242454661,1839,1554,1676,1554,81.0696569550446
"2005/2006",2006,120,120,100,44.5996223316913,171.854031927858,84.8666077069974,97.6435833333333,1911.93074859581,1540,1279.6832548424,1779.5,1432,1722,1422.5,79.253502138969
"2006/2007",2007,120,120,100,43.3297290640394,183.094330094692,65.1421047124654,88.5739583333333,2071.82097885049,1971,2007.90524709008,1927,2044.5,1374,2036,89.0871008627428
"2007/2008",2008,120,120,100,56.0733908045977,242.618061712858,71.468089455065,95.925875,2128.65082448912,1925,1794.76485261452,1997.5,1897.5,1670,1897.5,88.0371187900928
"2008/2009",2009,121,121,100,48.8072167487685,194.061227330826,86.356115086065,100.106708333333,1922.60241222038,1569.5,1363.37075038477,1802,1488,1682,1488,77.6642887864414
"2009/2010",2010,120,120,100,33.3250821018062,125.517071910919,88.4766851774351,96.8865,1567.88150795471,1276.5,1207.09904466874,1429.5,1257.5,1187,1253,71.8560422850778
"2010/2011",2011,120,120,100,39.1643349753695,151.506191185868,88.8006453378595,99.132,1579.53918802539,1275,1141.53148904835,1450.5,1220,1262,1216,68.3181763621874
"2011/2012",2012,120,120,100,55.6622660098522,231.104357216345,76.3878738857392,93.676,2072.438159809,1881,1777.24059611035,1915.5,1916.5,1642,1901,84.5613542242645
"2012/2013",2013,121,121,100,40.7164778325123,149.287132964559,85.9639661142754,94.5229583333333,1921.42994801261,1565.5,1524.35746844942,1702,1571,1510,1571,77.5850708426929
"2013/2014",2014,120,120,100,69.8412972085386,264.480895289343,67.9187918520756,94.946625,2432.86673903764,2288,2109.54658634008,2309.5,2283.5,1982,2283.5,91.6766440525907
"2014/2015",2015,120,120,100,56.7196633825944,203.006980860031,75.0191515111417,97.9050416666667,2155.71251778959,1894.5,1681.70335149887,2004,1841.5,1793,1828.5,84.9324461085048
"2015/2016",2016,120,120,100,41.6803448275862,145.382383944366,64.7343273623815,89.07875,1892.15644899162,1831,1746.9455224605,1766.5,1824.5,1267,1805,82.6629040637272
"2016/2017",2017,121,121,100,52.3261412151067,199.299967780719,78.4883336628005,100.062541666667,1990.1013561742,1719.5,1571.0388128018,1859.5,1687,1607,1687,84.3125628687358
"2017/2018",2018,120,120,100,56.8735139573071,215.486298231356,76.5909857419227,99.6550416666667,2184.92769599809,1911.5,1713.30321481792,2025,1867,1842,1867,84.533960176499
"2018/2019",2019,120,120,100,54.9787848932677,253.908290049465,71.1383677155864,96.3261666666667,2077.58627530871,1814.5,1651.17905812285,1933,1756,1695,1739.5,85.741277860172
"2019/2020",2020,120,120,100,58.1583004926108,232.953997911267,68.6706114676234,94.3795,2281.54915129085,2074,1996.50409759159,2123,2101,1756,2097,91.8793569192894
