"","Month","Tmin","Tmax","Chill_eff","Heat_eff"
"1",10,-20,-15,0,0
"2",10,-20,-14,0,0
"3",10,-20,-13,0,0
"4",10,-20,-12,0,0
"5",10,-20,-11,0,0
"6",10,-20,-10,0,0
"7",10,-20,-9,0,0
"8",10,-20,-8,0,0
"9",10,-20,-7,0,0
"10",10,-20,-6,0,0
"11",10,-20,-5,0,0
"12",10,-20,-4,0,0
"13",10,-20,-3,0,0
"14",10,-20,-2,2.06351419393777e-08,0
"15",10,-20,-1,6.3981904594264e-07,0
"16",10,-20,0,1.29250715289669e-05,0
"17",10,-20,1,0.000252956717403205,0
"18",10,-20,2,0.00478095640060272,0
"19",10,-20,3,0.0742615240747636,0
"20",10,-20,4,0.275422918875372,0
"21",10,-20,5,0.307370089878269,0.00833041071986667
"22",10,-20,6,0.313503203310869,0.0479815697735978
"23",10,-20,7,0.31281093832278,0.126109466274748
"24",10,-20,8,0.352840484086386,0.254748844161227
"25",10,-20,9,0.339205324802407,0.432600135467828
"26",10,-20,10,0.328145501706304,0.657086631618645
"27",10,-20,11,0.306277623117988,0.930496340248588
"28",10,-20,12,0.346400807458166,1.25247962818832
"29",10,-20,13,0.351332600013796,1.61682257676505
"30",10,-20,14,0.347609834051457,2.01566522555143
"31",10,-20,15,0.310992818984249,2.44055339565882
"32",10,-20,16,0.259328825932661,2.88345279561281
"33",10,-20,17,0.276124115976161,3.33689527005012
"34",10,-20,18,0.212739207868595,3.79327220446743
"35",10,-20,19,0.209454456213645,4.24489430481084
"36",10,-20,20,0.190806726776961,4.68411063160736
"37",10,-20,21,0.0635542991846647,5.1031586178183
"38",10,-20,22,0,5.49475663320389
"39",10,-20,23,0,5.85203703306906
"40",10,-20,24,0,6.16859893926305
"41",10,-20,25,0,5.4428227923802
"42",10,-20,26,0,3.68545058930157
"43",10,-20,27,0,3.90892040158918
"44",10,-20,28,0,4.10978447149506
"45",10,-20,29,0,2.69656076024122
"46",10,-20,30,0,2.465332028182
"47",10,-19,-15,0,0
"48",10,-19,-14,0,0
"49",10,-19,-13,0,0
"50",10,-19,-12,0,0
"51",10,-19,-11,0,0
"52",10,-19,-10,0,0
"53",10,-19,-9,0,0
"54",10,-19,-8,0,0
"55",10,-19,-7,0,0
"56",10,-19,-6,0,0
"57",10,-19,-5,0,0
"58",10,-19,-4,0,0
"59",10,-19,-3,0,0
"60",10,-19,-2,2.31783386024224e-08,0
"61",10,-19,-1,6.57112850009148e-07,0
"62",10,-19,0,1.32708343837168e-05,0
"63",10,-19,1,0.000259224641101922,0
"64",10,-19,2,0.00489061884059185,0
"65",10,-19,3,0.0758047047557118,0
"66",10,-19,4,0.282318127176606,0
"67",10,-19,5,0.314986651513491,0.00857220672496165
"68",10,-19,6,0.299339720095436,0.0487518278116789
"69",10,-19,7,0.333905535587799,0.12871976419027
"70",10,-19,8,0.358990523898328,0.259777751961798
"71",10,-19,9,0.319084264513799,0.439948880616822
