"chillR_code","STATION.NAME","CTRY","Lat","Long","BEGIN","END","Distance","Overlap_years","Perc_interval_covered"
"06391099999","ARCEN AWS","NL",51.5,6.2,19940901,20241117,12.76,26.34,85
"10403099999","MOENCHENGLADBACH","GM",51.233,6.5,19381001,19421031,23.65,0,0
"10437499999","MONCHENGLADBACH","GM",51.23,6.504,19960715,20241117,24.08,24.47,79
"10405099999","LAARBRUCH (RAF)","GM",51.6,6.15,19730102,19971231,24.29,8,26
"10000199999","NIEDERRHEIN","GM",51.602,6.142,20050101,20241117,24.72,16,52
"99860099999","ARRC MOENCHENGLADBA","",51.183,6.213,20011015,20020306,24.74,0.39,1
"10401099999","BRUGGEN (RAF)","GM",51.2,6.133,19730102,19971231,24.8,8,26
"06385099999","DE PEEL(NAFB)","NL",51.55,5.933,19730402,19940611,29.86,4.44,14
"10402099999","WILDENRATH(GAFB)","GM",51.117,6.217,19730101,20030508,31.91,13.35,43
"10404399999","KALKAR (MIL COMM)","GM",51.683,6.167,19820927,19870304,32.64,0,0
"10400099999","DUSSELDORF","GM",51.289,6.767,19310102,20241117,35.4,31,100
"10404099999","KALKAR (MIL COMM)","GM",51.75,6.283,19730102,19971231,38.97,8,26
"06377099999","ELL AWS","NL",51.2,5.767,20010701,20241117,42.67,19.5,63
"10409099999","ESSEN/MUELHEIM","GM",51.4,6.967,19300414,19431231,47.02,0,0
"10410099999","ESSEN/MULHEIM","GM",51.4,6.967,19310101,20220408,47.02,31,100
"06375099999","VOLKEL","NL",51.656,5.709,19510601,20241117,49.31,31,100
"10406099999","BOCHOLT","GM",51.833,6.533,19730101,20030816,51.05,13.62,44
"10500099999","GEILENKIRCHEN","GM",50.961,6.042,19820625,20241117,51.85,31,100
"06479099999","KLEINE BROGEL","BE",51.168,5.47,19730101,20241117,62.66,31,100
"10509099999","BUTZWEILERHOF(BAFB)","GM",50.983,6.9,19780901,19950823,62.98,5.64,18
"06370099999","EINDHOVEN","NL",51.45,5.375,19490101,20241117,63.76,31,100
"10503099999","AACHEN/MERZBRUCK","GM",50.817,6.183,19780901,19971212,65.33,7.95,26
"06380099999","MAASTRICHT","NL",50.912,5.77,19490101,20241117,65.34,31,100
"10502099999","NORVENICH","GM",50.831,6.658,19730101,20241117,68.36,31,100
"10501099999","AACHEN","GM",50.783,6.1,19280101,20030816,69.96,13.62,44
